a1_b0	$\alpha=1, \beta=0$
a2_b0	$\alpha=2, \beta=0$
a3_b0	$\alpha=3, \beta=0$
a3_b1	$\alpha=3, \beta=1$
a4_b0	$\alpha=4, \beta=0$
a4_b1	$\alpha=4, \beta=1$
a5_b0	$\alpha=5, \beta=0$
a5_b1	$\alpha=5, \beta=1$
a5_b2	$\alpha=5, \beta=2$
a6_b0	$\alpha=6, \beta=0$
a6_b1	$\alpha=6, \beta=1$
a6_b2	$\alpha=6, \beta=2$
a7_b0	$\alpha=7, \beta=0$
a7_b1	$\alpha=7, \beta=1$
a7_b2	$\alpha=7, \beta=2$
a8_b0	$\alpha=8, \beta=0$
a8_b1	$\alpha=8, \beta=1$
a8_b2	$\alpha=8, \beta=2$
a10_b2	$\alpha=10, \beta=2$
a20_b4	$\alpha=20, \beta=4$
a40_b8	$\alpha=40, \beta=8$
